Project:ID,Project:Name,Project:Is archived,Project:Is public,Project:File count
281596,1312 Assessment of a genetics mark-recapture for pacific walruses,—,[object Object],2
371470,1313 Coxiella and Brucella in Northern Fur Seals,—,[object Object],14
281605,1314 Polar bears as sentinels for Arctic zoonoses,—,[object Object],4
281614,1315 Bioeffects assessment in Bristol Bay,—,[object Object],2
366084,"1316 Sea Ice in Barrow Project Jukebox ",—,[object Object],8
281623,1317 BeringWatch: King CV Fishermen sentinels,—,[object Object],2
281632,1319 Benthic impacts of raised groundgear for the Bering sea pollock,—,[object Object],1867
281650,"1321 Blue king crab, habitat, and the ecosystem",—,[object Object],361
281723,1406 Physiological capacity of belugas to alter foraging behavior,—,[object Object],8
281732,1407 Fecal hormones in otariids,—,[object Object],1
281813,1416 Estimating calling depths of bowhead and right whales,—,[object Object],8
366590,BSIERP BEST-BSIERP,—,[object Object],—
2575507,0100 test,—,—,1
2575667,NPRB metadata template- folder,—,—,—
2576663,Metadata templates,—,—,2
2577287,1701 Mixotrophy in the coastal Gulf of Alaska,—,[object Object],22
2577303,1702 Data and information in salmon stock-recruitment analysis,—,[object Object],9
2577320,1703 Juvenile sablefish condition and growth,—,[object Object],5
2577337,1704 Somatic growth regulation in the Pacific halibut,—,[object Object],9
2577354,1705 Tanner crab response to temperature change and Hematodinium,—,[object Object],29
2577371,1706 Spatio-temporal variation in forage fish body condition,—,[object Object],3
2577389,1707 Spawning capelin in Norton Sound,—,[object Object],17
2577407,1708 Reproductive maturation of Pacific herring,—,[object Object],9
2577424,1709 Physiological ecology of Neocalanus flemingeri,—,[object Object],6
2577440,1710 State-space model of factors affecting coho survival and abundance,—,[object Object],3
2577456,1711 Pacific sleeper shark bioenergetics,—,[object Object],14
2577475,1712 Oil spills and Pacific herring population recruitment,—,[object Object],15
2577493,1713 Genetics of mating dynamics in EBS snow crab,—,[object Object],39
2577511,1714 Population genetic structure of Northern Fulmar bycatch,—,[object Object],12
2577529,1715 Diet and reproductive rates in variable populations of two otariids,—,[object Object],9
2577550,1716 The relationship between polar bear stress hormones and sea ice change,—,[object Object],3
2577572,1717 Reliable Areas of Uncertainty for Vocalizing Marine Mammals,—,[object Object],18
2577588,1718 Cook Inlet Beluga Whale Reproductive Rates,—,[object Object],6
2577604,1719 Policy Choices and Permit Migration in an LEP Fishery,—,[object Object],2
2577622,1720 Connecting Fishery Policies to Fishing Portfolios,—,[object Object],20
2577642,1721 Effective Co-management of Marine Mammals in Alaska,—,[object Object],9
2577660,1722 COASST Citizen Science,—,[object Object],5
2577681,1723 Epigenetic aging of Cook Inlet beluga whales,—,[object Object],5
2577697,1724 A sex identification assay for Chinook salmon,—,[object Object],2
