Project:ID,Project:Name,Project:Is archived,Project:Is public,Project:File count
366592,0207 Detecting change in the Bering Sea ecosystem,—,[object Object],350
368695,0208 Environmental cues for herring spawning,—,[object Object],16
367610,0209 Two species of rougheye rockfishes in the northern Gulf of Alaska,—,[object Object],89
367626,0210 Nutritional quality of Alaskan fish for predators,—,[object Object],—
366876,0211 Sinking particles/pelagic food webs in the SE Bering Sea,—,[object Object],7
367581,0301 Evaluation of emergent structure in low-relief benthic habitats as a criterion for defining the essential fish habitat of juvenile North Pacific...,—,[object Object],6
366511,"0302 A continuous plankton recorder survey of the North Pacific and southern Bering Sea ",—,[object Object],1
366835,"0303 North Pacific Anadromous Fish Commission Cooperative Research: Use of genetic stock identification to determine the distribution, migration, ear...",—,[object Object],114
367700,"0304 Deep sea coral distribution and habitat in the Aleutian Archipelago ",—,[object Object],8
367529,"0305 Monitoring and modeling predator-prey relationships ",—,[object Object],89
367731,"0306 Species identity and life history of Hematodinium, the causative agent of bitter crab syndrome in Northeast Pacific snow (opilio) and Tanner (ba...",—,[object Object],7
367545,0307 Bering Sea right whales: ongoing research and public outreach,—,[object Object],9
367766,"0308 Forage fishes in the western Gulf of Alaska: variation in productivity ",—,[object Object],39
367784,"0309 Sperm whale and longline fisheries interactions in the Gulf of Alaska ",—,[object Object],3
367555,0310 Estuaries as essential fish habitat for salmonids: assessing residence time and habitat use of coho and sockeye salmon in Alaska estuaries,—,[object Object],5
367572,"0311 Establishing a statewide data warehouse of salmon size, age and growth records ",—,[object Object],1
368471,0312 Ice seal bio-monitoring in the Bering-Chukchi Sea region,—,[object Object],20
367511,0313 Effects of prey availability and predation risk on the foraging ecology and demography of harbor seals in Prince William Sound: development and ...,—,[object Object],86
367492,0314 Thermal habitat preferences of Pacific halibut and the potential influence of hydrographic variability on a local coastal fishery,—,[object Object],53
372223,0315 Continuation of long-term observations on the Bering Sea shelf: Biophysical moorings at sites 2 and 4,—,[object Object],33
368508,"0316 Essential fish habitat for blue king crab, Phase 1: Development of cultivation techniques for blue king crab larvae ",—,[object Object],2
372207,"0317 Pre-season forecast of Bristol Bay sockeye salmon migration timing based on oceanographic and biological variables ",—,[object Object],13
366461,"0318 Pilot project for development of comprehensive baseline commercial fishing community engagement and dependency profiles for the Bering Sea, Aleu...",—,[object Object],18
372253,0319 Retrospective study of pigmented macrophage aggregates as markers of Pacific herring population health,—,[object Object],3
367463,0320 Regime forcing and ecosystem response in the Bering Sea (ReFER): Phase II,—,[object Object],40
