Project:ID,Project:Name,Project:Is archived,Project:Is public,Project:File count
24244112,2006 Evaluating GOA ecosystem drivers using the Atlantis model,—,—,—
24244137,2007 Seabird diet changes over 4000 years,—,—,—
24244158,2008 Long-term decline in copepod size in Alaska’s large marine ecosystems,—,—,—
24244177,2009 Pacific halibut recreational DMRs,—,—,—
24244196,2010 Pacific sleeper shark movement ecology,—,—,—
24244216,2011 Age estimation for Steller sea lions using DNA methylation,—,—,—
24244236,2012 Assessing long-term cryopelagic change with a marine bird,—,—,—
24244258,"2013 Fishery adaptive capacity ",—,—,—
24244279,2014 Well-Being and Rural Fishing Livelihoods,—,—,—
24246340,2101 Volcanic ash and phytoplankton in the subarctic NE Pacific,—,—,—
24246361,2102 Gulf of Alaska deep-sea zooplankton,—,—,—
24246379,2103 Arctic cod passive acoustic monitoring,—,—,—
24246399,"2104 Epidemiology and pathology of black eye syndrome ",—,—,—
24246420,2105 Seabirds: Synthesis of change,—,—,—
24246443,2106 Spotted seal in Karaginsky Gulf,—,—,—
24246462,2107 Hearing damage in bowhead whales,—,—,—
24246480,2101 Volcanic ash and phytoplankton in the subarctic NE Pacific,—,—,—
24246501,2102 Gulf of Alaska deep-sea zooplankton,—,—,—
24246519,2103 Arctic cod passive acoustic monitoring,—,—,—
24246539,"2104 Epidemiology and pathology of black eye syndrome ",—,—,—
24246560,2105 Seabirds: Synthesis of change,—,—,—
24246583,2106 Spotted seal in Karaginsky Gulf,—,—,—
24246602,2107 Hearing damage in bowhead whales,—,—,—
24249785,2101 Volcanic ash and phytoplankton in the subarctic NE Pacific,—,[object Object],—
24249806,2102 Gulf of Alaska deep-sea zooplankton,—,[object Object],7
24249824,2103 Arctic cod passive acoustic monitoring,—,[object Object],78057
24249844,"2104 Epidemiology and pathology of black eye syndrome ",—,[object Object],4
24249865,2105 Seabirds: Synthesis of change,—,[object Object],28
24249888,2106 Spotted seal in Karaginsky Gulf,—,[object Object],5
24249907,2107 Hearing damage in bowhead whales,—,[object Object],4
369082,0707 Alaskan Ferry Oceanographic Monitoring,—,[object Object],39
41525553,2114 Health assessment of southeast Alaska humpback whales,—,[object Object],3
41531037,2117: Acoustic measurement of bowhead whale migration speed,—,[object Object],7
41531420,2101 Volcanic ash and phytoplankton in the subarctic NE Pacific,—,—,—
41531441,2102 Gulf of Alaska deep-sea zooplankton,—,—,—
41531459,2103 Arctic cod passive acoustic monitoring,—,—,—
41531479,"2104 Epidemiology and pathology of black eye syndrome ",—,—,—
41531500,2105 Seabirds: Synthesis of change,—,—,—
41531523,2106 Spotted seal in Karaginsky Gulf,—,—,—
41531542,2107 Hearing damage in bowhead whales,—,—,—
41531560,2108 Smallest phytoplankton in the NGA,—,[object Object],—
41531577,2109 Marine heat and acidification events in the Gulf of Alaska,—,[object Object],3
41531599,2110 Pacific halibut Population Genomics,—,—,—
41531619,2111 Reproduction of Alaska Corals,—,[object Object],—
41531637,2112 Genomic resources for Alaska rockfish sustainability and management,—,[object Object],2
41531658,2113 Satellite tracking bowhead whales in the 2020s,—,[object Object],33
41531681,2114 Health assessment of Southeast Alaska Humpback whales,—,—,—
41531702,"2115 Diverse knowledge systems for the examination of localized dynamics of sea otters and abalone populations in Sitka Sound, Alaska",—,[object Object],8
41531721,2116 Sharing and resilience in Bering Sea and Arctic ecosystems,—,[object Object],—
41531739,2117 Acoustic Measurement of Bowhead Whale Migration Speed,—,[object Object],—
41531757,2118 Oceanographic influences on the habitat use of ice seals,—,[object Object],9
41534488,2110 Pacific halibut population genetics,—,[object Object],10
41709430,2201 Shifting patterns in phytoplankton blooms,—,[object Object],3
41709448,2202 Bering Sea Inner Shelf:  Improving system understanding,—,[object Object],—
41709468,2203 Automation of Sockeye Salmon Scale Age Estimation,—,[object Object],3
41709487,2204 Pacific Cod response to warming: looking back to see forward,—,[object Object],3
41709505,2205 Mapping Common Eider Use for Informing NEPA,—,[object Object],4
41709525,2206 BRIDGING KNOWLEDGE TO INFORM BERING SEA MANAGEMENT (BKIBS),—,[object Object],1
41709552,2207 Engaging Yukon Fishers in Research on Chinook Salmon Decline,—,[object Object],3
41802756,h3 playground,—,—,1
41859249,2209 Development and application of the beluga skin transcriptome,—,[object Object],1
41859642,2213 Combining the eastern Bering Sea shelf and slope surveys,—,[object Object],2
41859664,2210 Yukon River and Norton Sound Chum salmon Marine Ecology,—,[object Object],6
41859688,2211 Climate Drivers of Yukon River Chinook Productivity,—,—,—
41861041,2211 Climate drivers of Yukon River chinkook productivity,—,[object Object],1
41874517,2212 Adaptation of thermal tolerance in an invasive tunicate,—,[object Object],35
41901859,2208 Alaskan pinniped diving constraints and adaptive capacity,—,[object Object],3
42163826,2214: Pinto abalone mariculture potential,—,[object Object],97
42372274,2301: Ageing Pacific sleeper shark,—,[object Object],9
42372283,2302: Resource partitioning among north Pacific flatfishes,—,[object Object],—
42372296,2303: DNA diet validation trials with northern fur seals,—,[object Object],—
42372305,2304: Biochemical studies of individual bowhead whale baleen,—,[object Object],24
42372316,2305: Fatty acid dried spots and snow crab BES,—,[object Object],—
42728746,2306: Extending the North Pacific Continuous Plankton Recorder Survey Into the Western Arctic Ocean,—,—,1
42728765,2313: Trans-Pacific zooplankton and seabird surveys,—,—,—
42735714,2312 Seabird Use of Spatially-Predictable Tidal Rips,—,—,—
42735764,2309 Bristol Bay red king crab movement,—,—,—
42735781,2308 Bristol Bay red king crab settlement potential,—,—,—
42773796,2311 Age validation of Gulf of Alaska groundfishes,—,—,—
42773812,2314 Accelerometry and stable isoptopes of northern fur seal pups,—,—,—
42827359,2307 Decadal study on ecological dynamics of Pacific salmon,—,—,—
