Project:ID,Project:Name,Project:Is archived,Project:Is public,Project:File count
366028,0909 Cooperative & Noncooperative Management of Straddling Stocks,—,[object Object],—
369745,0910 Photo-id of Cook Inlet Beluga Whales,—,[object Object],10
371790,0911 Winter Ecology of Bering Sea Seabirds,—,[object Object],537
370452,0912 Studying diets in threatened eiders,—,[object Object],4
369766,0913 Induction of Hematodinium in Tanner crabs,—,[object Object],9
370434,0914 Trichinellosis in marine mammals and its transmission to man,—,[object Object],4
371438,0915 Disease severity in Chinook salmon during marine migration,—,[object Object],8
369779,0916 Lake Iliamna Freshwater Seal Study,—,[object Object],7
369802,"0917 Reducing bycatch mortality in commercial crab fisheries ",—,[object Object],13
367950,0918 Sperm whale depredation,—,[object Object],1877
368004,0920 Shoreline Change on Sagavanirktok Delta,—,[object Object],245
369829,"0921 Coastal Erosion/Accretion Processes in Hooper Bay, Alaska",—,[object Object],21
371708,0922 ELCMP,—,[object Object],10
369843,0923 Ecological impacts of the 2008 Kasatochi eruption.,—,[object Object],32
369871,0924 Molecular identification of larvae and diet,—,[object Object],5
369887,0925 Improved Alaskan Shellfish Safety,—,[object Object],13
371696,0926 Using flow cytometry to assess the condition of fish larvae,—,[object Object],9
367964,0927 Integrating In Situ Biochemical Sampling on a Glider,—,[object Object],21
369900,0928 Tracking tagged fish with an autonomous underwater vehicle,—,[object Object],11
371344,0929 WEBSEC-72 zooplankton,—,[object Object],8
371964,1001 CPR,—,[object Object],6
367659,1002,—,[object Object],1
370355,1003 Bowhead Whale Stable Isotopes For Tracking Arctic Food Web Changes,—,[object Object],7
370244,1004 Moored Observations of Ocean Acidification in the Gulf of Alaska,—,[object Object],4
370381,1005 Octopus tagging studies,—,[object Object],8
371406,1006 Age-0 pollock index,—,[object Object],6
371938,1007 Atka mackerel small-scale population abundance and movement,—,[object Object],23
281367,1008B Salmon bycatch in the BSAI pollock fisheries,—,[object Object],2
370038,1009 Chinook Survival,—,[object Object],4
372048,1010 Ocean acidification and reproduction of Tanner crabs,—,[object Object],83
370272,1011 Predation and survival of young Steller sea lions in the Gulf of Alaska,—,[object Object],18
372161,1012 SEAK sea otters and fisheries,—,[object Object],163
371551,1013 Ingalimuit Traditional KNowledge of Walrus in the Bering Strait,—,[object Object],1
371369,1014 Short-Tailed Albatross New Colony Establishment Phase 2,—,[object Object],87
371424,1015 Distribution and transmission of Ichthyophonus,—,[object Object],10
368355,1016 Marine macroinvertebrates of Alaska,—,[object Object],7
370162,1017 Alternative catch monitoring in Alaska,—,[object Object],4
365831,1018 Comparison of Red King Crab Biomass Estimates,—,[object Object],7
367977,1019 Assessment of Health Conditions of Subsistence Fish and Shellfish,—,[object Object],14
370183,1020 BeringWatch,—,[object Object],4
