Project:ID,Project:Name,Project:Is archived,Project:Is public,Project:File count
368901,0614 Gulf of Alaska NPZ modeling,—,[object Object],1051
366785,0615 Marine Habitat Mapping Workshop,—,[object Object],1
366766,0616 Chiswell Ridge Habitat Mapping,—,[object Object],77
368558,0617 Halibut migration in BSAI,—,[object Object],90
368572,0618 Cod maturity in the Bering Sea,—,[object Object],13
366350,0619 Habitat connectivity during ontogeny,—,[object Object],151
366741,"0620 Estimating movement rates of Pacific cod ",—,[object Object],19
368918,0621 GOA Skate Diet,—,[object Object],15
366369,0622 Seasonal predation by key Bering Sea and Gulf of Alaska fish,—,[object Object],51
368933,0623 Q-PCR to assess impacts of Hematodinium on Tanner crabs,—,[object Object],14
368955,0624 Larval snow crab transport and survival in the Bering Sea,—,[object Object],14615
368591,0625 Assessment of BB RKC Resource for Future Management,—,[object Object],12
366984,0626 Sperm Whale Depredation,—,[object Object],1905
366714,"0627 Identifying life history characteristics of squid ",—,[object Object],18
366700,0628 Life history and demographics of large sculpins,—,[object Object],51
368606,0629 Maternal effects in Pacific Ocean Perch,—,[object Object],16
366725,0630 Food web linkages: Forage Fish in the Aleutian Archipelago,—,[object Object],21
368621,0631 Population structure of ringed seals,—,[object Object],22
370525,0632 Walruses in the Bering Sea,—,[object Object],29
370218,0633 Right whale habitat at multiple scales,—,[object Object],32
368640,0634 Bowhead whale genetic structure,—,[object Object],16
368985,0635 Isotopic comparison of cetacean muscle and epidermis,—,[object Object],13
368997,0636 Critical foraging habitat of lactating northern fur seals,—,[object Object],72
367813,0637 North Pacific Pelagic Seabird Program,—,[object Object],56
368658,0638 Auklet demography and climate variability,—,[object Object],110
366690,0639 Northern Fur Seal Law and Policy Issues,—,[object Object],1
366678,"0640 Community Profiles: Adak, St. George, St. Paul & Sand Point",—,[object Object],113
369008,0641 Trichinellosis of walrus and man in Chukchi Peninsula,—,[object Object],28
369025,0642 Forage Fish Prince William Sound Nearshore,—,[object Object],32
370212,0643 Bering Strait LTK,—,[object Object],106
369041,0644 Paralytic Shellfish Poison Monitoring in Aleut Region,—,[object Object],16
369054,0645 Subsistence Uses of Alaska Rockfish,—,[object Object],39
366633,0646 Steller Sea Lions in Alaska,—,[object Object],6
370350,0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008),—,[object Object],31
366923,0702 Development and Testing of a Real-Time Ocean Data Transmitting Buoy for the Gulf of Alaska,—,[object Object],21
366914,0703 Education and Outreach for NPRB,—,[object Object],1
367011,0704 Developing the Alaska Marine Information System,—,[object Object],1
369066,0705 Trends in the Bering Sea Ice Cover,—,[object Object],5375
371616,0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD,—,[object Object],39
366287,0708 Gulf of Alaska LTOP,—,[object Object],94
369112,0709 Flatfish species-habitat association,—,[object Object],32
369134,0710 Potential trawl impacts upon flatfish nurseries,—,[object Object],23
369157,"0711 Unobserved, trawl-induced injuries to Bering Sea crabs",—,[object Object],210
369177,"0712 Bycatch characterization in the Pacific halibut fishery ",—,[object Object],7
369206,0713 Snow crab growth with climate warming in the Bering Sea,—,[object Object],9
369222,0714 Reproductive potential of king and snow crabs,—,[object Object],12
369235,0715 Skate Life History and Demography,—,[object Object],8
369248,0716 Squid acoustics,—,[object Object],10
369259,0717 Sea otter decline,—,[object Object],65
370019,0718 Right whale breeding habitat in the Pacific Islands,—,[object Object],78
369963,0719 Analysis of Bering Sea data,—,[object Object],8
369277,0720 Migration of North Pacific Right Whales,—,[object Object],6
369294,0722 North Pacific Seabird Diet Database,—,[object Object],29
371649,0723 Short-tailed Albatross New Colony Establishment,—,[object Object],1
369325,0724 Diet assessment in threatened eiders,—,[object Object],7
369342,0725 Fisheries Rationalization and Crew,—,[object Object],6
369351,0726 Sediment Quality Triad Assessment in Kachemak Bay,—,[object Object],9
369375,0727 TBT contamination from shipping,—,[object Object],8
369386,0728 Herring Synthesis,—,[object Object],124
