"p.id","p.name","name","id","bytes","path"
370350,"0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008)","EcoFOCI_2008mooringM2_08bsm2a",1606038,3706360,"/Files/original/EcoFOCI_2008mooringM2_08bsm2a"
370350,"0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008)","EcoFOCI_2008mooringM2_08bsp2b",1606022,198528,"/Files/original/EcoFOCI_2008mooringM2_08bsp2b"
370350,"0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008)","EcoFOCI_2008mooringM4_08bsp4a",1606031,802732,"/Files/original/EcoFOCI_2008mooringM4_08bsp4a"
370350,"0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008)","Files",370351,6570205,"/Files"
370350,"0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008)","Final report",2541419,407496,"/Final report"
370350,"0701 Sentinels for Ecosystem Change:  Long-term Biophysical Moorings on the Bering Sea Shelf (2007-2008)","original",1606019,6562009,"/Files/original"
366923,"0702 Development and Testing of a Real-Time Ocean Data Transmitting Buoy for the Gulf of Alaska","Files",366924,187625205,"/Files"
366923,"0702 Development and Testing of a Real-Time Ocean Data Transmitting Buoy for the Gulf of Alaska","Final report",2541415,957327,"/Final report"
366923,"0702 Development and Testing of a Real-Time Ocean Data Transmitting Buoy for the Gulf of Alaska","NPRB.2007.02",1606081,81883412,"/Files/NPRB.2007.02"
366923,"0702 Development and Testing of a Real-Time Ocean Data Transmitting Buoy for the Gulf of Alaska","original",1606096,92847296,"/Files/original"
366914,"0703 Education and Outreach for NPRB","Files",366915,0,"/Files"
366914,"0703 Education and Outreach for NPRB","Final report",2541414,322428,"/Final report"
367011,"0704 Developing the Alaska Marine Information System","Files",367012,0,"/Files"
367011,"0704 Developing the Alaska Marine Information System","Final report",2541433,430647,"/Final report"
369066,"0705 Trends in the Bering Sea Ice Cover","3party",1606775,20841,"/Files/3party"
369066,"0705 Trends in the Bering Sea Ice Cover","a2m_data",1613078,418069768,"/Files/data/NPRB.2007.05.ncep 2 meter air temp/a2m_data"
369066,"0705 Trends in the Bering Sea Ice Cover","a2m_images",1613881,17578107,"/Files/data/NPRB.2007.05.ncep 2 meter air temp/a2m_images"
369066,"0705 Trends in the Bering Sea Ice Cover","avhrr_data",1609863,186696900,"/Files/data/NPRB.2007.05.avhrr sst/avhrr_data"
369066,"0705 Trends in the Bering Sea Ice Cover","avhrr_images",1610488,29936761,"/Files/data/NPRB.2007.05.avhrr sst/avhrr_images"
369066,"0705 Trends in the Bering Sea Ice Cover","data",1606788,1802273416,"/Files/data"
369066,"0705 Trends in the Bering Sea Ice Cover","Files",369067,1802625732,"/Files"
369066,"0705 Trends in the Bering Sea Ice Cover","Final report",2541588,3100431,"/Final report"
369066,"0705 Trends in the Bering Sea Ice Cover","ice.bootstrap.ease.25km.data.raw",1611103,15673728,"/Files/data/NPRB.2007.05.sea ice cover/sic_data/ice.bootstrap.ease.25km.data.raw"
369066,"0705 Trends in the Bering Sea Ice Cover","ice.bootstrap.ease.25km.data.statistics",1611776,3358656,"/Files/data/NPRB.2007.05.sea ice cover/sic_data/ice.bootstrap.ease.25km.data.statistics"
369066,"0705 Trends in the Bering Sea Ice Cover","nic_data",1606790,475411008,"/Files/data/NPRB.2007.05.sea ice concentration/nic_data"
369066,"0705 Trends in the Bering Sea Ice Cover","nic_images",1607705,11930671,"/Files/data/NPRB.2007.05.sea ice concentration/nic_images"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.avhrr sst",1609862,216639809,"/Files/data/NPRB.2007.05.avhrr sst"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.ncep 2 meter air temp",1613075,435654023,"/Files/data/NPRB.2007.05.ncep 2 meter air temp"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.reynolds",1614626,174747413,"/Files/data/NPRB.2007.05.reynolds"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.sea ice concentration",1606789,487347827,"/Files/data/NPRB.2007.05.sea ice concentration"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.sea ice cover",1611095,27345880,"/Files/data/NPRB.2007.05.sea ice cover"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.sea ice motion vectors",1609482,995021,"/Files/data/NPRB.2007.05.sea ice motion vectors"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.sea ice open close dates",1612716,23687344,"/Files/data/NPRB.2007.05.sea ice open close dates"
369066,"0705 Trends in the Bering Sea Ice Cover","NPRB.2007.05.sea level pressure",1615977,435834587,"/Files/data/NPRB.2007.05.sea level pressure"
369066,"0705 Trends in the Bering Sea Ice Cover","open-close_data",1612717,22675854,"/Files/data/NPRB.2007.05.sea ice open close dates/open-close_data"
369066,"0705 Trends in the Bering Sea Ice Cover","open-close_images",1612892,1005342,"/Files/data/NPRB.2007.05.sea ice open close dates/open-close_images"
369066,"0705 Trends in the Bering Sea Ice Cover","original",1617535,95575,"/Files/original"
369066,"0705 Trends in the Bering Sea Ice Cover","rey_data",1615302,163760160,"/Files/data/NPRB.2007.05.reynolds/rey_data"
369066,"0705 Trends in the Bering Sea Ice Cover","rey_images",1614627,10981105,"/Files/data/NPRB.2007.05.reynolds/rey_images"
369066,"0705 Trends in the Bering Sea Ice Cover","sic_data",1611098,20393585,"/Files/data/NPRB.2007.05.sea ice cover/sic_data"
369066,"0705 Trends in the Bering Sea Ice Cover","sic_images",1611923,6946147,"/Files/data/NPRB.2007.05.sea ice cover/sic_images"
369066,"0705 Trends in the Bering Sea Ice Cover","slp_data",1615978,418069768,"/Files/data/NPRB.2007.05.sea level pressure/slp_data"
369066,"0705 Trends in the Bering Sea Ice Cover","slp_images",1616781,17758671,"/Files/data/NPRB.2007.05.sea level pressure/slp_images"
369066,"0705 Trends in the Bering Sea Ice Cover","vector_images",1609483,988873,"/Files/data/NPRB.2007.05.sea ice motion vectors/vector_images"
369066,"0705 Trends in the Bering Sea Ice Cover","xml",1617528,73287,"/Files/xml"
371616,"0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD","Files",371617,72162199,"/Files"
371616,"0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD","Final report",2541498,3865654,"/Final report"
371616,"0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD","PWP General Input Data",1606512,38765424,"/Files/PWP General Input Data"
371616,"0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD","PWP Model Codes",1606447,66774,"/Files/PWP Model Codes"
371616,"0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD","PWP Model Inputs",1606478,194870,"/Files/PWP Model Inputs"
371616,"0706 THE BERING-CHUKCHI QUIKSCAT WIND FIELD","PWP Model Outputs",1606491,32938135,"/Files/PWP Model Outputs"
366287,"0708 Gulf of Alaska LTOP","Chlorophyll.Cheryl_Hopcroft",1606171,8807567,"/Files/original/original/Chlorophyll.Cheryl_Hopcroft"
366287,"0708 Gulf of Alaska LTOP","CTD.Russ_Hopcroft",1606137,1519834,"/Files/original/original/CTD.Russ_Hopcroft"
366287,"0708 Gulf of Alaska LTOP","Files",366288,24762005,"/Files"
366287,"0708 Gulf of Alaska LTOP","Final files from Alicia",1606192,81478,"/Files/original/original/Final files from Alicia"
366287,"0708 Gulf of Alaska LTOP","Final report",2541351,788553,"/Final report"
366287,"0708 Gulf of Alaska LTOP","old_NPRB.2007.08.cruises",1606277,142888,"/Files/Upgrades_Old/old_NPRB.2007.08.cruises"
366287,"0708 Gulf of Alaska LTOP","old_NPRB.2007.08.GOA_Calvet_zooplankton",1606270,235406,"/Files/Upgrades_Old/old_NPRB.2007.08.GOA_Calvet_zooplankton"
366287,"0708 Gulf of Alaska LTOP","old_NPRB.2007.08.GOA_Chlorophyll",1606298,28641,"/Files/Upgrades_Old/old_NPRB.2007.08.GOA_Chlorophyll"
366287,"0708 Gulf of Alaska LTOP","original",1606133,19435636,"/Files/original"
366287,"0708 Gulf of Alaska LTOP","original",1606134,14500975,"/Files/original/original"
366287,"0708 Gulf of Alaska LTOP","Upgrades_Old",1606269,786433,"/Files/Upgrades_Old"
366287,"0708 Gulf of Alaska LTOP","Zooplankton.Russ_Hopcroft",1606158,4085948,"/Files/original/original/Zooplankton.Russ_Hopcroft"
