"p.id","p.name","name","id","bytes","path"
2577287,"1701 Mixotrophy in the coastal Gulf of Alaska","<20 Data",6401797,17378,"/Data/<20 Data"
2577287,"1701 Mixotrophy in the coastal Gulf of Alaska","Admin",2577288,19874059,"/Admin"
2577287,"1701 Mixotrophy in the coastal Gulf of Alaska","Data",6458164,53356,"/Data"
2577287,"1701 Mixotrophy in the coastal Gulf of Alaska","Final Report",2620143,3287153,"/Final Report"
2577287,"1701 Mixotrophy in the coastal Gulf of Alaska","Media Products",2577290,47826,"/Media Products"
2577287,"1701 Mixotrophy in the coastal Gulf of Alaska","Mixo Data",2577289,35978,"/Data/Mixo Data"
2577303,"1702 Data and information in salmon stock-recruitment analysis","Admin",2577304,1003831,"/Admin"
2577303,"1702 Data and information in salmon stock-recruitment analysis","Data",2577305,1945984,"/Data"
2577303,"1702 Data and information in salmon stock-recruitment analysis","Final Report",6708138,433248,"/Final Report"
2577303,"1702 Data and information in salmon stock-recruitment analysis","Media Products",2577306,0,"/Media Products"
2577320,"1703 Juvenile sablefish condition and growth","Admin",2577322,893735,"/Admin"
2577320,"1703 Juvenile sablefish condition and growth","Data",2577321,553293,"/Data"
2577320,"1703 Juvenile sablefish condition and growth","Final Report",2577323,2694606,"/Final Report"
2577337,"1704 Somatic growth regulation in the Pacific halibut","Admin",2577338,0,"/Admin"
2577337,"1704 Somatic growth regulation in the Pacific halibut","Data",2577339,289431,"/Data"
2577337,"1704 Somatic growth regulation in the Pacific halibut","Final Report",6596437,1066288,"/Final Report"
2577337,"1704 Somatic growth regulation in the Pacific halibut","Media Products",2577340,0,"/Media Products"
2577354,"1705 Tanner crab response to temperature change and Hematodinium","Admin",2577355,2931050,"/Admin"
2577354,"1705 Tanner crab response to temperature change and Hematodinium","Data",2577356,145797979,"/Data"
2577354,"1705 Tanner crab response to temperature change and Hematodinium","Final report",6611441,619565,"/Final report"
2577354,"1705 Tanner crab response to temperature change and Hematodinium","Media Products",2577357,466210607,"/Media Products"
2577371,"1706 Spatio-temporal variation in forage fish body condition","Admin",2577373,0,"/Admin"
2577371,"1706 Spatio-temporal variation in forage fish body condition","Data",2577372,2050733,"/Data"
2577371,"1706 Spatio-temporal variation in forage fish body condition","Final Report",4986517,2387916,"/Final Report"
2577371,"1706 Spatio-temporal variation in forage fish body condition","Media Products",2577374,0,"/Media Products"
2577389,"1707 Spawning capelin in Norton Sound","Admin",2577390,116269,"/Admin"
2577389,"1707 Spawning capelin in Norton Sound","Data",2577391,1851488,"/Data"
2577389,"1707 Spawning capelin in Norton Sound","Final Report",5249511,1948444,"/Final Report"
2577389,"1707 Spawning capelin in Norton Sound","Media Products",2577392,0,"/Media Products"
2577407,"1708 Reproductive maturation of Pacific herring","Admin",2577408,0,"/Admin"
2577407,"1708 Reproductive maturation of Pacific herring","Data",2577409,2166232,"/Data"
2577407,"1708 Reproductive maturation of Pacific herring","final report",7581806,2774999,"/final report"
2577407,"1708 Reproductive maturation of Pacific herring","Media Products",2577410,0,"/Media Products"
2577424,"1709 Physiological ecology of Neocalanus flemingeri","Admin",2577425,197356,"/Admin"
2577424,"1709 Physiological ecology of Neocalanus flemingeri","Data",2577426,12628,"/Data"
2577424,"1709 Physiological ecology of Neocalanus flemingeri","Final Report",5335820,3556573,"/Final Report"
2577424,"1709 Physiological ecology of Neocalanus flemingeri","Media Products",2577427,0,"/Media Products"
2577440,"1710 State-space model of factors affecting coho survival and abundance","Admin",2577441,0,"/Admin"
2577440,"1710 State-space model of factors affecting coho survival and abundance","Data",2577442,5379,"/Data"
2577440,"1710 State-space model of factors affecting coho survival and abundance","final report",7581821,143905,"/final report"
2577440,"1710 State-space model of factors affecting coho survival and abundance","Media Products",2577443,0,"/Media Products"
2577456,"1711 Pacific sleeper shark bioenergetics","Admin",2577457,18197151,"/Admin"
2577456,"1711 Pacific sleeper shark bioenergetics","Data",2577458,442937216,"/Data"
2577456,"1711 Pacific sleeper shark bioenergetics","Final Report",6350887,7158166,"/Final Report"
2577456,"1711 Pacific sleeper shark bioenergetics","Media Products",2577459,0,"/Media Products"
2577475,"1712 Oil spills and Pacific herring population recruitment","Admin",2577476,0,"/Admin"
2577475,"1712 Oil spills and Pacific herring population recruitment","Data",2577477,852374,"/Data"
2577475,"1712 Oil spills and Pacific herring population recruitment","Final Report",6348687,2302083,"/Final Report"
2577475,"1712 Oil spills and Pacific herring population recruitment","Media Products",2577478,0,"/Media Products"
2577493,"1713 Genetics of mating dynamics in EBS snow crab","Admin",2577494,74879,"/Admin"
2577493,"1713 Genetics of mating dynamics in EBS snow crab","Data",2577495,2155539,"/Data"
2577493,"1713 Genetics of mating dynamics in EBS snow crab","Final report",7792726,561012,"/Final report"
2577493,"1713 Genetics of mating dynamics in EBS snow crab","Media Products",2577496,216867074,"/Media Products"
2577511,"1714 Population genetic structure of Northern Fulmar bycatch","Admin",2577512,262130,"/Admin"
2577511,"1714 Population genetic structure of Northern Fulmar bycatch","Data",2577513,3974097332,"/Data"
2577511,"1714 Population genetic structure of Northern Fulmar bycatch","Final Report",5149346,448553,"/Final Report"
2577511,"1714 Population genetic structure of Northern Fulmar bycatch","Media Products",2577514,0,"/Media Products"
2577529,"1715 Diet and reproductive rates in variable populations of two otariids","Admin",2577530,882075,"/Admin"
2577529,"1715 Diet and reproductive rates in variable populations of two otariids","Data",2577531,226160,"/Data"
